# 自动上架定价配置：<道具ID> D C B A S
# 由 tools/gen_auto_sell_price_cfg.py 从默认定价.xlsx 生成，改价请改 Excel 后重跑
3 1000 1100 1210 1331 1464
8 1000 1100 1210 1331 1464
16 4000 4400 4840 5324 5856
18 4000 4400 4840 5324 5856
22 9000 9900 10890 11979 13176
28 9000 9900 10890 11979 13176
37 16000 17600 19360 21296 23425
39 16000 17600 19360 21296 23425
42 25000 27500 30250 33275 36602
48 25000 27500 30250 33275 36602
56 36000 39600 43560 47916 52707
57 36000 39600 43560 47916 52707
63 49000 53900 59290 65219 71740
67 49000 53900 59290 65219 71740
70 64000 70400 77440 85184 93702
77 64000 70400 77440 85184 93702
87 81000 89100 98010 107811 118592
88 81000 89100 98010 107811 118592
94 100000 110000 121000 133100 146410
97 100000 110000 121000 133100 146410
805 1000 1100 1210 1331 1464
809 1000 1100 1210 1331 1464
811 4000 4400 4840 5324 5856
812 4000 4400 4840 5324 5856
820 9000 9900 10890 11979 13176
826 9000 9900 10890 11979 13176
830 16000 17600 19360 21296 23425
838 16000 17600 19360 21296 23425
841 25000 27500 30250 33275 36602
842 25000 27500 30250 33275 36602
852 36000 39600 43560 47916 52707
854 36000 39600 43560 47916 52707
863 49000 53900 59290 65219 71740
867 49000 53900 59290 65219 71740
872 64000 70400 77440 85184 93702
878 64000 70400 77440 85184 93702
883 81000 89100 98010 107811 118592
885 81000 89100 98010 107811 118592
890 100000 110000 121000 133100 146410
895 100000 110000 121000 133100 146410
1606 1000 1100 1210 1331 1464
1608 1000 1100 1210 1331 1464
1613 4000 4400 4840 5324 5856
1619 4000 4400 4840 5324 5856
1625 9000 9900 10890 11979 13176
1629 9000 9900 10890 11979 13176
1634 16000 17600 19360 21296 23425
1635 16000 17600 19360 21296 23425
1643 25000 27500 30250 33275 36602
1649 25000 27500 30250 33275 36602
1657 36000 39600 43560 47916 52707
1658 36000 39600 43560 47916 52707
1663 49000 53900 59290 65219 71740
1669 49000 53900 59290 65219 71740
1673 64000 70400 77440 85184 93702
1678 64000 70400 77440 85184 93702
1684 81000 89100 98010 107811 118592
1686 81000 89100 98010 107811 118592
1695 100000 110000 121000 133100 146410
1698 100000 110000 121000 133100 146410
2402 1000 1100 1210 1331 1464
2404 1000 1100 1210 1331 1464
2413 4000 4400 4840 5324 5856
2418 4000 4400 4840 5324 5856
2434 9000 9900 10890 11979 13176
2435 9000 9900 10890 11979 13176
2446 16000 17600 19360 21296 23425
2447 16000 17600 19360 21296 23425
2449 25000 27500 30250 33275 36602
2450 25000 27500 30250 33275 36602
2461 36000 39600 43560 47916 52707
2462 36000 39600 43560 47916 52707
2473 49000 53900 59290 65219 71740
2478 49000 53900 59290 65219 71740
2486 64000 70400 77440 85184 93702
2488 64000 70400 77440 85184 93702
2492 81000 89100 98010 107811 118592
2495 81000 89100 98010 107811 118592
2493 100000 110000 121000 133100 146410
2497 100000 110000 121000 133100 146410
